generation,leftchild,rightchild,abstime,betainit,betashift
0,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.5,0
30000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0133944,-0.121164
30000,Rfant_0062_AAGC,NA,13.5335,1.01974,-0.0882408
30000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.5971,1.31704,-0.103776
30000,RimitJLB17_089_0588_AFII,NA,13.4382,1.57994,-0.0824808
30000,EcaptJB0004n1_0239_ACDJ,NA,6.81792,0.0392069,0.0239313
60000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0182341,-0.145736
60000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.764,0.393759,0.101855
60000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,12.9978,0.689031,-0.141409
90000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0169793,-0.153146
90000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.4018,0.378599,0.100157
90000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,11.5208,0.787964,-0.0243697
120000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00496428,-0.0831805
120000,Rfant_0062_AAGC,NA,13.6544,1.73807,-0.0907494
120000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.5918,1.35491,-0.019642
120000,Ruaka_0121_ABCB,NA,14.2534,0.7481,-0.0199411
120000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,12.3718,0.473428,0.0330042
150000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00470523,-0.0708397
150000,Rfant_0062_AAGC,NA,14.0895,2.02486,0.000547926
150000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6008,1.69351,0.0389126
150000,RventJLB06_012_0170_ABHA,NA,14.414,0.193607,-0.0585176
150000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,9.40776,0.458788,-0.0987046
150000,RlamaJLB07_002_0086_AAIG,NA,13.3473,0.0123962,-0.0505173
180000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00851118,-0.109106
180000,Rfant_0062_AAGC,NA,13.8801,0.353726,0.109534
180000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.846,0.513182,-0.00767164
180000,RventJLB07_048_0152_ABFC,Rvari_0123_ABCD,12.6573,0.0217591,-0.0386992
180000,RimitJLB17_089_0588_AFII,NA,13.9664,1.19076,0.0139257
210000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.010283,-0.142442
210000,Rfant_0062_AAGC,NA,13.7965,0.313235,-0.0655404
210000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6551,2.00258,0.0504255
210000,RventJLB07_237_0131_ABDB,NA,14.0133,0.436876,0.121412
210000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,11.9299,0.711958,-0.043554
240000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00744019,-0.0988374
240000,Rfant_0062_AAGC,NA,13.6012,0.962428,-0.043165
240000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9823,1.02466,0.052041
240000,RimitJLB17_089_0588_AFII,NA,13.6425,0.965747,-0.201741
270000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00491016,-0.0690929
270000,Rfant_0062_AAGC,NA,13.5246,0.674231,-0.0269107
270000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4461,0.717828,0.096189
270000,RimitJLB17_089_0588_AFII,NA,13.445,0.727236,0.0635522
300000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.494237,0.0132762
300000,RfanJLB07_19_0398_ADJI,Rfant_0062_AAGC,13.4254,0.436077,-0.0506534
