generation,leftchild,rightchild,abstime,betainit,betashift
0,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.5,0
30000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0134124,0.183213
30000,Rfant_0062_AAGC,NA,14.1635,0.909005,-0.0774213
30000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.2895,0.378466,-0.0497563
30000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.8452,0.434906,-0.0127244
30000,Rvent_0154_ABFE,NA,14.1104,1.96902,-0.0169972
30000,RventJLB07_237_0131_ABDB,NA,14.1301,0.173852,-0.00603213
30000,RimitET_16_061_0915_AJBF,NA,13.5011,0.504255,0.0556918
30000,Rlama_0093_AAJD,RlamaJLB08_098_0089_AAIJ,12.2909,0.809424,-0.14017
60000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00164461,0.0136682
60000,RfanJLB07_19_0398_ADJI,RretiMNCN_26963_0395_ADJF,10.6287,0.43728,-0.0576144
60000,Rvent_0154_ABFE,NA,12.7085,0.794496,0.0182234
60000,RventJLB07_237_0131_ABDB,NA,14.1697,0.943354,0.0709855
60000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,13.0087,0.0936839,0.152825
60000,RsireJLB07_031_0104_ABAE,NA,13.377,0.473333,0.032668
90000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00159089,0.0670912
90000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,11.9284,0.258038,0.161566
90000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.8229,0.861082,0.0691583
90000,Rvent_0154_ABFE,NA,12.8875,1.15429,0.00599319
90000,RventJLB07_237_0131_ABDB,RventJLB08_019_0264_ACGE,12.3357,0.285136,-0.00821299
90000,RimitET_16_061_0915_AJBF,NA,14.3277,2.30751,0.0306901
90000,RsireJLB07_031_0104_ABAE,NA,12.9902,0.395545,0.0664255
120000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00164146,-0.0140623
120000,RuakaJLB17_142_0815_AIBF,NA,13.9958,0.0833122,0.0605057
120000,RfanJLB07_19_0398_ADJI,RretiMNCN_26963_0395_ADJF,10.0962,0.246054,0.0442544
120000,RventJLB08_019_0264_ACGE,NA,13.7266,0.841938,-0.0443834
120000,Rvent_0154_ABFE,Rvent_0165_ABGF,11.227,1.16687,-0.0553733
120000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,12.0746,0.0586267,0.0253598
120000,RsireJLB07_031_0104_ABAE,NA,13.442,0.605996,-0.0224573
150000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00194596,0.0656043
150000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.4026,0.750565,0.0169397
150000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,11.9131,0.125078,-0.044941
150000,Ruaka_0115_ABBF,NA,13.8558,1.09247,0.0965039
150000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.2405,0.49403,-0.108109
150000,Rvent_0154_ABFE,NA,13.5924,1.63995,-0.0313284
150000,RventJLB07_237_0131_ABDB,NA,14.4576,0.998753,-0.0126526
150000,RimitET_16_061_0915_AJBF,NA,13.4312,0.382848,-0.0678749
150000,RsireJLB07_031_0104_ABAE,NA,13.2843,1.46243,0.0635944
180000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00175281,0.161855
180000,Rvent_0159_ABFJ,Ruaka_0112_ABBC,13.054,0.0504302,-0.00678842
180000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,11.9415,0.313415,0.122382
180000,Ruaka_0115_ABBF,NA,14.638,0.874485,-0.0852841
180000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.2601,0.86183,-0.03795
180000,Rvent_0154_ABFE,NA,12.963,1.01981,0.0237815
180000,RventJLB07_237_0131_ABDB,NA,12.4889,0.413776,-0.12376
180000,RimitET_16_061_0915_AJBF,NA,14.0572,1.02165,0.0253005
180000,RsireJLB07_031_0104_ABAE,NA,13.3638,0.680472,0.00159646
210000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00209311,0.00705262
210000,RfanJLB07_19_0398_ADJI,RretiMNCN_26963_0395_ADJF,10.5682,0.380116,-0.148485
210000,Rvent_0154_ABFE,NA,13.547,1.00824,0.00992832
210000,RventJLB07_237_0131_ABDB,NA,12.5018,0.376878,0.0198335
210000,RimitET_16_061_0915_AJBF,NA,13.6798,1.37151,-0.0214413
210000,RsireJLB07_031_0104_ABAE,NA,13.2817,0.616891,-0.0197992
210000,Mminu_0244_ACEE,NA,11.8375,0.482624,-0.024997
240000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00231527,-0.028146
240000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.5431,0.606874,-0.0889189
240000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,11.8728,0.103963,0.0464222
240000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.686,0.501084,0.0499556
240000,Rvent_0154_ABFE,NA,13.3115,1.72997,0.0592483
240000,RventJLB07_237_0131_ABDB,NA,13.7248,0.616836,-0.0174988
240000,RimitJLB07_42_0404_AEAE,NA,14.133,0.175431,0.0835106
240000,RimitET_16_061_0915_AJBF,NA,14.3197,0.495465,-0.185781
240000,RsireJLB07_031_0104_ABAE,NA,13.7722,1.65296,-0.0115147
270000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00104511,0.0686429
270000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.394,0.311781,-0.172704
270000,RfanJLB07_19_0398_ADJI,Rduel_0058_AAFI,8.86723,0.243465,0.00362735
270000,Rvent_0154_ABFE,NA,12.9501,1.18324,0.0651707
270000,RventJLB07_237_0131_ABDB,NA,13.8833,1.08888,-0.0144772
270000,RimitJLB07_42_0404_AEAE,NA,14.1681,0.485187,-0.106008
270000,RimitET_16_061_0915_AJBF,NA,13.6757,0.935412,-0.015387
270000,Rlama_0093_AAJD,RsireJLB07_031_0104_ABAE,12.3135,1.01728,-0.0111559
300000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00123123,0.131211
300000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.4371,0.30518,0.0577486
300000,RfanJLB07_19_0398_ADJI,RretiMNCN_26963_0395_ADJF,9.76871,0.211536,-0.0400247
300000,Rvent_0154_ABFE,NA,13.0583,2.50912,-0.0640151
300000,RventJLB07_237_0131_ABDB,NA,13.7002,0.543921,-0.0425459
300000,RimitET_16_061_0915_AJBF,NA,13.7448,0.602572,0.178385
300000,RsireJLB07_031_0104_ABAE,NA,13.1014,1.30517,0.154308
330000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00151458,0.0942412
330000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,11.9458,0.380473,0.0550117
330000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.3414,0.157015,-0.0772854
330000,Rvent_0154_ABFE,NA,13.0932,0.672461,-0.03049
330000,RventJLB07_237_0131_ABDB,NA,13.4129,0.931374,0.00165653
330000,RvanzIP_MTR28162_0635_AGDF,NA,14.3967,0.034278,-0.0280435
330000,RimitET_16_061_0915_AJBF,NA,13.4725,3.27888,-0.022628
330000,RsireJLB07_031_0104_ABAE,NA,13.5087,1.13832,0.0629292
360000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00294766,-0.0176722
360000,RfanJLB07_19_0398_ADJI,RretiMNCN_26963_0395_ADJF,9.93718,0.280581,0.0145758
360000,Rvent_0154_ABFE,Rvent_0165_ABGF,10.2185,0.483486,-0.0894559
360000,RimitET_16_061_0915_AJBF,NA,13.8437,0.936099,0.0305774
360000,Rlama_0093_AAJD,RsireJLB07_031_0104_ABAE,12.5971,1.18437,-0.0775225
390000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00125927,0.0692008
390000,RfanJLB07_19_0398_ADJI,RretiMNCN_26963_0395_ADJF,11.0478,0.233535,0.0406604
390000,RvariSCF2014_0900_AJAA,NA,13.543,0.439578,0.00329561
390000,Rvent_0154_ABFE,RventJLB07_237_0131_ABDB,11.4751,1.43231,-0.176894
390000,RimitET_16_061_0915_AJBF,NA,14.4388,1.57068,0.159538
390000,Rlama_0093_AAJD,RsireJLB07_031_0104_ABAE,12.7383,1.37312,0.110693
420000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00144366,0.0898664
420000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,11.9531,0.300427,0.0223271
420000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.6872,0.452794,-0.0772534
420000,Rvent_0154_ABFE,NA,13.6254,1.38173,-0.0775565
420000,RventJLB07_237_0131_ABDB,RventJLB08_019_0264_ACGE,12.2573,0.137531,-0.0318514
420000,RimitET_16_061_0915_AJBF,NA,13.8508,1.31071,0.0938014
420000,RsireJLB07_031_0104_ABAE,NA,13.0162,1.48817,0.0671045
450000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000978905,0.125563
450000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,12.1075,0.571246,-0.00412106
450000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.2335,0.787194,0.0344913
450000,Rvent_0154_ABFE,NA,13.912,2.64432,0.183734
450000,RventJLB07_237_0131_ABDB,NA,14.0715,0.42922,0.0454262
450000,RimitJLB07_42_0404_AEAE,NA,14.4506,0.0408092,0.0124717
450000,RimitET_16_061_0915_AJBF,NA,13.4046,0.282983,-0.13882
450000,RsireJLB07_031_0104_ABAE,NA,12.9171,1.30977,0.00314108
480000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00114624,0.0332758
480000,Rfant_0062_AAGC,NA,14.5361,0.107918,0.0855556
480000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,12.0252,0.331632,0.135666
480000,RretiMNCN_27372_0417_AEBH,NA,14.1186,0.521194,-0.0173317
480000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.6341,0.910999,-0.0909509
480000,Rvent_0154_ABFE,NA,12.9428,1.63429,-0.0648415
480000,RventJLB07_237_0131_ABDB,NA,12.592,0.233681,0.015147
480000,RimitJLB07_42_0404_AEAE,NA,13.9482,0.140771,-0.0465319
480000,RimitET_16_061_0915_AJBF,NA,14.4008,0.907607,0.100752
480000,RsireJLB07_031_0104_ABAE,NA,12.8955,1.79338,-0.0484621
480000,Mminu_0244_ACEE,NA,13.6784,1.37809,-0.158339
510000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00109026,0.0662859
510000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,12.0883,0.300844,-0.0212783
510000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.0614,0.444203,0.00693506
510000,Rvent_0154_ABFE,NA,14.0146,2.64174,0.0789663
510000,RventJLB07_237_0131_ABDB,NA,12.9392,1.054,-0.143149
510000,RimitET_16_061_0915_AJBF,NA,13.6293,0.419157,0.0194591
510000,RsireJLB07_031_0104_ABAE,NA,13.2724,1.64542,-0.037074
540000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00227053,0.0055369
540000,RfanJLB07_19_0398_ADJI,RbeniJB0027_0050_AAFA,12.0062,0.435935,-0.126218
540000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.2602,1.66131,0.0405339
540000,Rvent_0154_ABFE,NA,12.9793,1.00469,-0.0730919
540000,RventJLB07_237_0131_ABDB,NA,14.1403,0.335494,0.0616437
540000,RimitET_16_061_0915_AJBF,NA,13.9386,0.612455,-0.028085
540000,RsireJLB07_031_0104_ABAE,NA,12.9337,0.426944,0.036846
570000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00183613,0.0166714
