generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.281317,-100.04,1,1
30000,7,-0.587862,22.7922,3.75167,0.417333
60000,5,1.39721,93.3162,3.97119,0.404093
90000,6,0.828697,109.827,2.18134,0.235817
120000,6,6.22497,66.7484,2.51279,0.357122
150000,8,1.05845,108.112,3.767,0.315825
180000,8,1.07811,102.831,3.95237,0.2162
210000,6,2.55717,89.0839,3.35138,0.270107
240000,8,1.20858,132.359,3.4745,0.226567
270000,7,0.186753,92.2708,4.0569,0.253967
300000,6,-4.49311,101.069,3.7013,0.2676
330000,7,0.839903,106.257,3.56744,0.228689
360000,4,2.81415,64.2451,1.75547,0.302671
390000,5,-2.52082,67.7643,1.00944,0.310833
420000,6,2.3858,104.408,1.39444,0.240567
450000,7,-4.80926,123.651,6.09779,0.229442
480000,10,-0.971608,125.447,4.917,0.221533
510000,6,-2.07266,116.119,3.82558,0.227
540000,6,2.34222,115.273,2.81353,0.226383
570000,7,-2.25,92.2417,6.08658,0.259763
600000,6,0.0565185,92.9434,3.33452,0.2603
630000,7,-10.379,120.054,5.99036,0.227167
660000,8,3.21738,101.805,1.90725,0.243133
690000,6,-4.04145,115.328,3.61565,0.239433
720000,7,0.142258,124.682,5.43491,0.224167
750000,5,1.50141,102.163,2.8614,0.271573
780000,9,2.329,76.2521,5.79092,0.299226
810000,6,1.74531,99.0482,1.3194,0.239383
840000,6,3.63173,81.1364,2.41658,0.265856
870000,7,3.24137,90.9717,1.78106,0.2681
900000,11,0.544496,142.764,4.25146,0.203622
930000,7,-8.09946,134.102,3.15937,0.205833
960000,7,0.137946,130.34,4.63837,0.217192
990000,9,-0.755955,141.626,4.15138,0.1983
1020000,10,5.92107,141.739,4.7197,0.202767
1050000,8,-6.19712,121.949,4.02446,0.202533
1080000,9,-2.06791,133.629,5.73729,0.203589
1110000,8,-8.65082,143.492,9.01972,0.203333
1140000,9,1.87008,140.514,5.59068,0.200167
1170000,7,-2.92426,128.824,2.98842,0.197267
1200000,5,2.61958,50.6247,3.41308,0.297981
1230000,7,6.34818,81.4288,1.69325,0.266342
1260000,7,4.50623,140.214,4.03029,0.199853
1290000,7,-1.71835,131.161,3.62574,0.207342
1320000,9,-2.40881,141.749,2.10851,0.202083
1350000,9,3.19485,98.8325,5.0163,0.263217
1380000,8,-1.5313,117.275,6.83563,0.211617
1410000,7,-1.74092,119.826,5.58644,0.207067
1440000,8,1.13004,131.876,3.75471,0.20384
1470000,9,2.74672,132.999,4.34075,0.192833
1500000,7,-0.665227,139.016,4.95983,0.207233
1530000,8,0.623252,126.635,3.35799,0.1991
1560000,12,-0.44284,145.807,7.17848,0.197667
1590000,7,-3.20919,140.726,7.14687,0.208867
1620000,8,-7.31743,128.909,5.73797,0.202847
1650000,5,-2.1353,98.7299,1.46478,0.2831
1680000,8,-4.53909,130.726,5.21195,0.204433
1710000,8,-3.74924,140.264,6.35458,0.207858
1740000,8,-3.17598,131.773,4.1061,0.216367
1770000,8,-0.27434,136.149,4.227,0.213633
1800000,7,-1.73376,121.324,3.90565,0.218775
1830000,9,0.175379,140.611,4.86299,0.226483
1860000,8,-2.80553,114.725,4.80241,0.229483
1890000,9,3.26256,136.205,5.2474,0.220767
1920000,7,-3.03134,97.2726,3.91848,0.263802
1950000,8,-21.2709,127.546,6.01404,0.205333
