generation,leftchild,rightchild,abstime,betainit,betashift
0,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.5,0
30000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0378604,0.074631
30000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.3702,0.125739,-0.153208
30000,RfanJLB07_19_0398_ADJI,Rduel_0058_AAFI,8.74135,0.00117163,0.118975
30000,RventJLB07_048_0152_ABFC,RamazIP_MTR24117_0493_AEJD,10.827,0.44538,-0.103586
30000,Rflav_0076_AAHG,RyavaJLB08_157_0173_ABHD,10.9281,0.0732282,-0.00728813
30000,RimitJLB07_42_0404_AEAE,RimitJLB07_49_2_0655_AGFF,13.6812,1.99836,-0.161559
30000,RimitET_16_061_0915_AJBF,NA,13.6995,0.28063,0.0484286
30000,RsireJLB17_063_0465_AEGF,Rbiol_0053_AAFD,10.7355,0.0304502,-0.00474404
30000,EcaptJB0004n1_0239_ACDJ,NA,5.56591,0.0303944,0.0387164
60000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0708819,-0.0268187
60000,RretiMNCN_27372_0417_AEBH,NA,13.1878,0.260456,0.0995371
60000,RfanJLB07_19_0398_ADJI,Rduel_0058_AAFI,8.45331,0.000864575,0.123451
60000,RventJLB06_018_0156_ABFG,NA,13.9279,0.694278,-0.0940396
60000,RventJLB07_048_0152_ABFC,Rsp32904_0407_AEAH,11.4022,0.63668,-0.151487
60000,RimitJLB07_42_0404_AEAE,NA,13.973,1.71132,-0.171158
90000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00679966,-0.0864168
90000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.9432,0.0891032,-0.0732215
90000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_008_0057_AAFH,11.2579,0.248303,0.0425364
90000,RventJLB07_048_0152_ABFC,Rsp32904_0407_AEAH,11.3065,0.350653,-0.0971747
