generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.306458,-98.2239,1,1
30000,8,0.242997,40.5467,7.20682,0.371133
60000,5,-4.84474,54.5207,4.98802,0.374427
90000,9,9.02503,98.6651,3.9482,0.307185
120000,5,2.96314,50.9468,1.87877,0.330467
150000,13,2.38758,125.172,8.52176,0.243717
180000,9,6.75424,52.2187,4.08378,0.3267
210000,12,-2.37668,139.867,5.14824,0.206883
240000,11,1.40867,126.838,8.39044,0.204933
270000,11,13.3591,49.0643,4.87397,0.309322
300000,12,6.46788,143.226,3.86406,0.262583
330000,14,4.31949,146.232,6.64282,0.208467
360000,13,2.22066,152.296,10.2382,0.188392
390000,11,8.96998,98.0473,4.30252,0.28385
420000,13,-1.38911,150.824,7.76223,0.300575
450000,15,-1.24899,133.535,7.38169,0.180211
480000,13,-0.128797,152.317,8.19802,0.180933
510000,14,0.730221,140.948,9.93399,0.173433
540000,10,-3.6472,132.134,4.8433,0.206633
570000,12,-11.0557,116.763,5.96877,0.215633
600000,10,6.23995,123.527,5.18372,0.210533
630000,14,4.41799,125.295,4.25148,0.227017
660000,14,6.01111,129.325,7.57936,0.20155
690000,10,-1.48207,152.205,7.79717,0.1935
720000,14,1.69878,139.053,9.79987,0.193967
750000,13,3.27613,146.458,5.00676,0.196733
780000,15,-3.31744,152.285,6.31852,0.16977
810000,12,0.241329,126.068,4.01844,0.210352
840000,13,6.08296,133.411,5.43917,0.2095
870000,15,-12.1793,182.608,9.76482,0.170267
900000,16,10.8688,130.833,7.58766,0.211567
930000,19,9.1339,176.104,8.04477,0.160167
960000,14,4.3367,149.139,9.76839,0.172133
990000,12,2.72659,131.917,6.74211,0.220267
1020000,12,-8.43524,148.02,5.01139,0.2052
1050000,16,3.19688,154.904,4.57629,0.174089
1080000,14,-7.82926,143.418,8.09709,0.171867
1110000,17,1.47352,107.604,10.9818,0.24321
1140000,12,-4.80851,139.276,8.52508,0.183567
1170000,17,1.47272,159.778,9.48277,0.172644
1200000,13,-4.18473,168.395,9.47357,0.197767
1230000,11,1.51002,124.348,5.87902,0.204005
1260000,13,3.45274,148.797,6.93313,0.211367
1290000,12,4.25035,136.032,4.72587,0.192056
1320000,14,4.8376,151.327,7.21705,0.176053
1350000,15,-2.57555,148.436,9.74971,0.202417
1380000,13,-0.496871,87.669,9.978,0.254196
1410000,17,3.44717,131.397,8.55786,0.196433
1440000,15,0.8441,157.87,5.98416,0.188
1470000,10,-0.648457,113.575,6.68978,0.206517
1500000,11,-7.00803,136.051,8.18626,0.212033
