generation,leftchild,rightchild,abstime,betainit,betashift
0,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.5,0
30000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.17067,0.115433
30000,RamazIP_MTR24117_0493_AEJD,Rvent_0143_ABED,11.7088,0.527604,-0.101099
60000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.371645,-0.00742206
60000,Rvent_0151_ABFB,NA,13.8474,0.481564,0.187876
60000,RdeflSCF2012_0898_AIJI,NA,13.0766,0.307794,-0.0418498
90000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.231432,0.0573414
120000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.727567,-0.0622644
120000,RfantJLB07_046_0069_AAGJ,Rfant_0060_AAGA,13.4147,0.26347,-0.0659182
120000,Rduel_0058_AAFI,NA,13.5821,0.104497,-0.0839471
150000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.594354,-0.0479308
150000,Rvent_0154_ABFE,NA,14.5041,1.63904,0.00586876
180000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.380605,-0.0132013
210000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.643395,0.00866267
210000,RfanJLB07_19_0398_ADJI,Mminu_0244_ACEE,1.98639,0.127272,0.0905305
240000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.735583,-0.0729278
240000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_006_0056_AAFG,13.4243,2.87229,-0.096822
240000,RdeflJLB08_008_0057_AAFH,NA,13.9661,0.262732,0.166884
240000,RtoraIP_MTR28544_0631_AGDB,RtoraSCF1534_0888_AIII,10.5415,0.0452015,-0.0294231
270000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.110826,0.0866665
270000,RvertJLB17_158_0827_AICH,NA,13.2201,0.254736,0.0366032
270000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,13.1137,0.772265,-0.0483231
300000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.203041,0.119946
300000,RimitJLB07_49_2_0655_AGFF,NA,14.3699,0.935723,0.0325047
330000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.410556,-0.0286228
330000,RdeflSCF2012_0898_AIJI,NA,11.4839,3.00685,0.0902377
360000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.184939,0.0290214
360000,RfantJLB07_046_0069_AAGJ,NA,13.9563,1.3076,-0.0196836
360000,Rvari_0123_ABCD,NA,14.6395,2.68081,-0.00602536
360000,RamazIP_MTR24117_0493_AEJD,NA,14.6227,2.67309,-0.04212
360000,RventJLB08_004_0135_ABDF,RvariSCF2014_0900_AJAA,12.4255,0.167032,0.11147
360000,RventLSUMZ_15778_0620_AGCA,NA,13.6975,0.580339,-0.128974
360000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,13.1094,1.72656,-0.068224
390000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.335605,0.01238
420000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.240107,0.0334473
420000,RventJLB06_018_0156_ABFG,NA,14.579,0.616104,0.0469487
450000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.127392,0.112058
450000,RretiMNCN_27372_0417_AEBH,NA,14.4151,0.449915,0.0996115
450000,RvanzIP_MTR28162_0635_AGDF,Rsp_0106_ABAG,12.7562,1.30251,-0.0384155
480000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.150978,0.0665373
510000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.401063,-0.0176872
540000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.103268,0.070539
540000,RfantJLB07_046_0069_AAGJ,NA,14.4383,1.3991,0.132487
540000,RyavaJLB08_157_0173_ABHD,RyavaJLB08_157_0174_ABHE,13.6789,0.0200868,0.0398647
